SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED30001,229,252,479,140,66,202,0,3,3,4,4,8,13,8,17,13294,11474,24766,847,837,1686,395,18,414,230,14,250,43,9,53,131,60,193,142,183,327,15467,12927,28396,30,43,74,0,0,0,0,0,0,108,95,203,12,17,32,17,0,17,168,156,321,0,0,0,0,0,0,13,36,43,3,19,22,3,0,3,20,52,76,153,69,228,340,280,624,42,42,88,3,10,12,9,3,5,52,52,107,550,1009,1552,1174,1841,3017,154,113,266,17738,16222,33958
SED30002,185,203,388,572,730,1308,0,0,0,3,0,4,18,9,28,9946,8055,18001,562,878,1439,233,9,241,203,15,215,58,5,69,94,37,134,120,118,235,11989,10068,22058,55,46,107,0,0,0,0,0,0,145,118,258,12,31,37,0,0,3,212,196,408,0,0,0,0,0,0,59,86,148,26,63,89,5,10,19,94,157,252,91,55,146,397,408,808,34,34,67,6,9,14,4,0,4,46,36,91,368,613,980,860,1405,2263,109,75,186,13776,12615,26390
SED30003,401,445,840,1079,1158,2241,7,0,9,0,0,0,21,17,41,7088,6433,13517,461,728,1188,82,4,81,289,35,322,530,85,613,77,53,127,671,311,974,10703,9265,19971,85,70,155,0,0,0,0,0,0,50,56,105,16,16,23,8,4,13,157,139,300,0,0,5,0,0,3,53,91,149,29,51,82,13,13,23,102,157,259,120,49,165,378,344,721,20,25,48,15,7,20,4,3,13,41,35,83,623,794,1413,839,1492,2325,51,59,113,12642,11992,24631
SED30004,458,492,956,483,530,1007,3,3,8,3,0,3,17,13,30,7354,6306,13659,397,701,1099,144,0,149,215,18,235,101,14,121,92,28,117,128,123,252,9402,8235,17637,68,62,125,0,0,0,0,0,0,167,157,326,23,31,56,12,3,18,273,259,526,0,4,3,0,0,0,29,43,73,16,39,61,7,5,7,58,92,148,70,36,107,395,390,785,22,30,55,3,4,9,9,0,4,27,40,67,453,617,1071,821,1374,2190,73,68,140,11169,10721,21888
SED30005,7,3,4,275,241,517,7,3,12,0,0,0,26,8,28,10358,10734,21090,660,939,1601,184,7,194,226,34,264,306,86,394,251,62,312,335,294,627,12635,12414,25046,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,3,3,0,3,0,0,0,8,9,18,22,26,50,13,8,21,41,49,92,152,87,236,193,137,330,5,0,5,15,3,12,12,8,17,33,5,37,604,842,1445,1231,1672,2902,142,119,261,14835,15194,30028
SED30006,21,28,53,81,52,128,3,0,3,0,0,0,4,5,11,9321,8093,17413,533,557,1094,520,12,535,176,21,196,38,8,44,120,60,177,342,298,640,11155,9129,20287,3,9,5,0,0,0,0,0,0,51,49,106,0,10,13,0,0,0,62,66,129,0,0,0,0,0,0,30,57,86,4,10,13,3,0,3,41,65,104,108,43,147,204,174,377,10,9,25,4,0,4,6,3,7,19,13,37,843,1162,2011,1062,1580,2642,159,120,278,13450,12181,25622
SED30007,931,762,1693,1897,2428,4329,98,100,197,10,4,13,107,95,201,6984,5227,12211,502,852,1360,57,0,64,324,79,402,809,291,1106,184,97,280,3954,3581,7537,15865,13529,29386,186,179,363,3,0,3,3,0,4,23,22,50,12,16,22,28,10,36,255,225,482,23,26,50,0,0,0,37,27,63,23,50,69,42,44,84,120,140,263,107,61,170,487,436,919,50,32,81,31,20,53,16,4,18,95,64,158,782,744,1529,1274,1698,2969,134,111,240,18625,16576,35206
SED30008,83,69,154,118,199,317,4,0,7,15,11,29,10,28,36,7891,7225,15116,424,630,1062,109,3,112,178,29,205,149,56,208,128,68,196,200,270,472,9322,8605,17924,29,28,63,0,0,0,0,0,0,50,39,87,6,7,16,0,0,5,92,74,167,0,0,0,19,36,53,5,10,13,3,17,21,0,3,4,33,57,95,98,69,170,220,202,428,22,32,49,8,12,23,7,8,12,33,49,81,562,766,1329,751,1214,1967,103,106,210,10988,10944,21937
SED30009,32,25,54,147,122,268,7,0,8,3,3,6,11,13,25,8092,7981,16069,465,632,1100,195,4,199,145,9,149,126,35,157,161,45,204,150,149,300,9533,9012,18547,3,3,11,0,0,0,0,0,0,45,20,65,0,4,4,0,0,0,48,27,77,0,0,0,0,0,0,14,3,19,9,17,27,9,0,13,24,29,58,97,49,145,169,108,275,6,9,14,13,10,16,3,4,10,19,21,43,689,1013,1707,922,1351,2277,86,74,160,11431,11572,23007
SED30010,692,800,1493,592,856,1448,376,453,829,0,0,3,42,38,73,8734,7520,16255,502,777,1279,122,3,126,272,36,316,449,105,552,121,59,187,311,318,631,12213,10972,23183,109,98,209,8,5,13,0,0,0,63,90,158,17,30,46,19,8,28,211,236,447,107,127,237,0,0,0,39,40,78,20,32,48,11,11,26,174,215,391,208,159,368,599,603,1203,47,26,72,27,44,72,13,7,14,86,77,164,680,961,1642,989,1661,2647,79,75,154,14646,14351,28995
SED30011,3,0,4,100,58,161,4,3,5,0,0,0,17,15,37,5653,5313,10962,586,721,1306,141,3,139,186,3,191,138,21,163,52,23,78,190,186,378,7076,6344,13414,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,5,0,8,0,3,3,3,3,4,11,11,17,58,45,99,69,59,126,0,0,0,0,0,0,5,0,7,5,0,7,137,289,429,536,881,1414,76,80,159,7902,7650,15549
